key,de,en
login.lbl.email,E-Mail,E-Mail
login.lbl.password,Passwort,Password
login.btn.login,Einloggen,Login
login.error.login_failed,Zugangsdaten ungültig,Invalid credentials
loading.lbl,Laden...,Loading...
login.error.server_connection,"Fehler: Der Server konnte nicht erreicht werden. Response-Code {response_code}, Client-Code {client_code}","Error: Could not reach server. Response-Code {response_code}, Client-Code {client_code}"
main.lbl.welcome,"Willkommen, {name} ({mail})","Welcome, {name} ({mail})"
main.lbl.settings,Einstellungen,Settings
main.lbl.logout,Abmelden,Logout
main.lbl.leave_game,Verlassen,Quit
main.btn.join,beitreten,join
main.placeholder.code,Code (ZLDKN),Code (ZLDKN)
main.error.game_404,Kein Spiel mit Code {code} gefunden.,No game with code {code} found.
main.error.join,Der Code ist entweder ungültig oder das Spiel ist schon voll.,The code is either invalid or the game is already full.
trump.lbl.choose,Trump wählen,Choose trump
main.lbl.custom_game,Eigenes Spiel,Custom Game
custom_game.lbl.title,Eigenes Spiel erstellen,Create Custom Game
custom_game.lbl.bots,Bots,Bots
custom_game.lbl.bot.north,Norden,North
custom_game.lbl.bot.east,Osten,East
custom_game.lbl.bot.south,Süden,South
custom_game.lbl.bot.west,Westen,West
custom_game.lbl.winning_condition,Gespielt auf...,Winning condition
custom_game.lbl.winning_condition.hands,Anzahl Hände,Hands Played
custom_game.lbl.winning_condition.points,Anzahl Punkte,Total Points
custom_game.placeholder.winning_condition.value,2500,2500
custom_game.btn.create,Spiel erstellen,Create game
custom_game.btn.back,Zurück,Back
game.lbl.waiting_for_player,Warte auf Spieler,Waiting for players
game.lbl.waiting_for_trump,{player} wählt Trumpf,{player} chooses trump
game.lbl.north,Norden,North
game.lbl.east,Osten,East
game.lbl.south,Süden,South
game.lbl.west,Westen,West
